t,3 mm,t,4 mm,t,5 mm,t,6.5 mm,t,8 mm,t,10 mm,t,11.5 mm,t,15 mm
,,6.76E-07,1.0008,,,6.76E-07,1.0013,6.76E-07,1.0011,6.76E-07,1.05003,6.76E-07,1.03407,6.76E-07,1.38321
,,6.77E-07,1.00079,,,6.77E-07,1.00129,6.77E-07,1.00137,6.77E-07,1.04951,6.77E-07,1.03436,6.77E-07,1.38148
,,6.78E-07,1.00079,,,6.78E-07,1.00129,6.78E-07,1.00149,6.78E-07,1.04886,6.78E-07,1.03463,6.78E-07,1.37943
,,6.79E-07,1.00079,,,6.79E-07,1.00128,6.79E-07,1.00154,6.79E-07,1.04806,6.79E-07,1.03489,6.79E-07,1.37705
,,6.80E-07,1.00079,,,6.80E-07,1.00128,6.80E-07,1.00155,6.80E-07,1.04718,6.80E-07,1.03514,6.80E-07,1.37434
,,6.81E-07,1.00078,,,6.81E-07,1.00128,6.81E-07,1.00156,6.81E-07,1.04616,6.81E-07,1.03538,6.81E-07,1.37129
,,6.82E-07,1.00078,,,6.82E-07,1.00127,6.82E-07,1.00156,6.82E-07,1.04508,6.82E-07,1.03561,6.82E-07,1.36786
,,6.83E-07,1.00078,,,6.83E-07,1.00127,6.83E-07,1.00156,6.83E-07,1.04389,6.83E-07,1.03583,6.83E-07,1.36406
,,6.84E-07,1.00078,,,6.84E-07,1.00126,6.84E-07,1.00155,6.84E-07,1.04259,6.84E-07,1.03603,6.84E-07,1.35984
,,6.85E-07,1.00077,,,6.85E-07,1.00126,6.85E-07,1.00155,6.85E-07,1.04124,6.85E-07,1.03623,6.85E-07,1.35519
,,6.86E-07,1.00077,,,6.86E-07,1.00125,6.86E-07,1.00155,6.86E-07,1.03983,6.86E-07,1.03641,6.86E-07,1.35006
,,6.87E-07,1.00077,,,6.87E-07,1.00125,6.87E-07,1.00154,6.87E-07,1.03835,6.87E-07,1.03658,6.87E-07,1.34438
,,6.88E-07,1.00077,,,6.88E-07,1.00125,6.88E-07,1.00154,6.88E-07,1.03683,6.88E-07,1.03674,6.88E-07,1.33796
,,6.89E-07,1.00076,,,6.89E-07,1.00124,6.89E-07,1.00153,6.89E-07,1.03525,6.89E-07,1.03688,6.89E-07,1.32962
,,6.90E-07,1.00076,,,6.90E-07,1.00124,6.90E-07,1.00153,6.90E-07,1.03363,6.90E-07,1.03701,6.90E-07,1.32201
,,6.91E-07,1.00076,,,6.91E-07,1.00123,6.91E-07,1.00152,6.91E-07,1.03199,6.91E-07,1.03711,6.91E-07,1.31459
,,6.92E-07,1.00076,,,6.92E-07,1.00123,6.92E-07,1.00151,6.92E-07,1.03035,6.92E-07,1.03718,6.92E-07,1.30789
,,6.93E-07,1.00075,,,6.93E-07,1.00123,6.93E-07,1.00151,6.93E-07,1.02876,6.93E-07,1.03719,6.93E-07,1.30065
,,6.94E-07,1.00075,,,6.94E-07,1.00122,6.94E-07,1.0015,6.94E-07,1.02713,6.94E-07,1.03705,6.94E-07,1.29344
,,6.95E-07,1.00075,,,6.95E-07,1.00122,6.95E-07,1.0015,6.95E-07,1.02558,6.95E-07,1.03825,6.95E-07,1.28691
,,6.96E-07,1.00074,,,6.96E-07,1.00121,,,,,6.96E-07,1.03988,6.96E-07,1.28054
,,6.97E-07,1.00074,,,6.97E-07,1.00121,,,,,6.97E-07,1.04054,6.97E-07,1.27414
,,6.98E-07,1.00074,,,6.98E-07,1.00121,,,,,6.98E-07,1.04146,6.98E-07,1.26762
,,6.99E-07,1.00074,,,6.99E-07,1.0012,,,,,6.99E-07,1.04165,6.99E-07,1.26203
,,7.00E-07,1.00074,,,7.00E-07,1.0012,,,,,7.00E-07,1.04176,7.00E-07,1.25597
,,7.01E-07,1.00073,,,7.01E-07,1.00119,,,,,7.01E-07,1.04181,7.01E-07,1.2499
,,7.02E-07,1.00073,,,7.02E-07,1.00119,,,,,7.02E-07,1.04166,7.02E-07,1.2447
,,7.03E-07,1.00073,,,7.03E-07,1.00119,,,,,7.03E-07,1.04139,7.03E-07,1.23908
,,7.04E-07,1.00073,,,7.04E-07,1.00118,,,,,7.04E-07,1.04102,7.04E-07,1.23361
,,7.05E-07,1.00072,,,7.05E-07,1.00118,,,,,7.05E-07,1.04046,7.05E-07,1.22839
,,7.06E-07,1.00072,,,7.06E-07,1.00117,,,,,7.06E-07,1.03989,7.06E-07,1.22317
,,7.07E-07,1.00072,,,7.07E-07,1.00117,,,,,7.07E-07,1.03918,7.07E-07,1.21845
,,7.08E-07,1.00072,,,7.08E-07,1.00117,,,,,7.08E-07,1.0384,7.08E-07,1.21345
,,7.09E-07,1.00071,,,7.09E-07,1.00116,,,,,7.09E-07,1.03766,7.09E-07,1.20871
,,7.10E-07,1.00071,,,7.10E-07,1.00116,,,,,7.10E-07,1.03665,7.10E-07,1.20431
,,7.11E-07,1.00071,,,7.11E-07,1.00115,,,,,7.11E-07,1.03582,7.11E-07,1.19973
,,7.12E-07,1.00071,,,7.12E-07,1.00115,,,,,7.12E-07,1.03496,7.12E-07,1.19518
,,7.13E-07,1.0007,,,7.13E-07,1.00115,,,,,7.13E-07,1.03423,7.13E-07,1.19108
,,7.14E-07,1.0007,,,7.14E-07,1.00114,,,,,7.14E-07,1.03351,7.14E-07,1.18683
,,7.15E-07,1.0007,,,7.15E-07,1.00114,,,,,7.15E-07,1.03299,7.15E-07,1.18278
,,7.16E-07,1.0007,,,7.16E-07,1.00113,,,,,7.16E-07,1.03274,7.16E-07,1.17865
,,7.17E-07,1.00069,,,7.17E-07,1.00113,,,,,7.17E-07,1.03274,7.17E-07,1.17471
,,7.18E-07,1.00069,,,7.18E-07,1.00113,,,,,7.18E-07,1.033,7.18E-07,1.17076
,,7.19E-07,1.00069,,,7.19E-07,1.00112,,,,,7.19E-07,1.03348,7.19E-07,1.167
,,7.20E-07,1.00069,,,7.20E-07,1.00112,,,,,7.20E-07,1.03415,7.20E-07,1.16351
,,7.21E-07,1.00068,,,7.21E-07,1.00111,,,,,7.21E-07,1.03498,7.21E-07,1.15973
,,7.22E-07,1.00068,,,7.22E-07,1.00111,,,,,7.22E-07,1.03594,7.22E-07,1.15613
,,7.23E-07,1.00068,,,7.23E-07,1.00111,,,,,7.23E-07,1.03701,7.23E-07,1.15286
,,7.24E-07,1.00068,,,7.24E-07,1.0011,,,,,7.24E-07,1.03815,7.24E-07,1.14958
,,7.25E-07,1.00068,,,7.25E-07,1.0011,,,,,7.25E-07,1.03931,7.25E-07,1.1462
,,7.26E-07,1.00067,,,7.26E-07,1.0011,,,,,7.26E-07,1.04054,7.26E-07,1.14306
,,7.27E-07,1.00067,,,7.27E-07,1.00109,,,,,7.27E-07,1.04173,7.27E-07,1.13968
,,7.28E-07,1.00067,,,7.28E-07,1.00109,,,,,7.28E-07,1.04287,7.28E-07,1.13683
,,7.29E-07,1.00067,,,7.29E-07,1.00108,,,,,7.29E-07,1.04399,7.29E-07,1.13372
,,7.30E-07,1.00066,,,7.30E-07,1.00108,,,,,7.30E-07,1.045,7.30E-07,1.1306
,,7.31E-07,1.00066,,,7.31E-07,1.00108,,,,,7.31E-07,1.04598,7.31E-07,1.12791
,,7.32E-07,1.00066,,,7.32E-07,1.00107,,,,,7.32E-07,1.04691,7.32E-07,1.12502
,,7.33E-07,1.00066,,,7.33E-07,1.00107,,,,,7.33E-07,1.04766,7.33E-07,1.12232
,,7.34E-07,1.00065,,,7.34E-07,1.00107,,,,,7.34E-07,1.04825,7.34E-07,1.11961
,,7.35E-07,1.00065,,,7.35E-07,1.00106,,,,,7.35E-07,1.04876,7.35E-07,1.11681
,,7.36E-07,1.00065,,,7.36E-07,1.00106,,,,,7.36E-07,1.04919,7.36E-07,1.11435
,,7.37E-07,1.00065,,,7.37E-07,1.00105,,,,,7.37E-07,1.04949,7.37E-07,1.11168
,,7.38E-07,1.00065,,,7.38E-07,1.00105,,,,,7.38E-07,1.04969,7.38E-07,1.1092
,,7.39E-07,1.00064,,,7.39E-07,1.00105,,,,,7.39E-07,1.04978,7.39E-07,1.10677
,,7.40E-07,1.00064,,,7.40E-07,1.00104,,,,,7.40E-07,1.04973,7.40E-07,1.10456
,,7.41E-07,1.00064,,,7.41E-07,1.00104,,,,,7.41E-07,1.04956,7.41E-07,1.10211
,,7.42E-07,1.00064,,,7.42E-07,1.00104,,,,,7.42E-07,1.04926,7.42E-07,1.09983
,,7.43E-07,1.00063,,,7.43E-07,1.00103,,,,,7.43E-07,1.04884,7.43E-07,1.09753
,,7.44E-07,1.00063,,,7.44E-07,1.00103,,,,,7.44E-07,1.04833,7.44E-07,1.09534
,,7.45E-07,1.00063,,,7.45E-07,1.00102,,,,,7.45E-07,1.04773,7.45E-07,1.09319
,,,,,,7.46E-07,1.00102,,,,,7.46E-07,1.04704,7.46E-07,1.09109
,,,,,,7.47E-07,1.00102,,,,,7.47E-07,1.04626,7.47E-07,1.08914
,,,,,,7.48E-07,1.00101,,,,,7.48E-07,1.04542,7.48E-07,1.08704
,,,,,,7.49E-07,1.00101,,,,,7.49E-07,1.04449,7.49E-07,1.08507
,,,,,,7.50E-07,1.00101,,,,,7.50E-07,1.04348,7.50E-07,1.08308
,,,,,,7.51E-07,1.001,,,,,7.51E-07,1.04243,7.51E-07,1.08133
,,,,,,7.52E-07,1.001,,,,,7.52E-07,1.04131,7.52E-07,1.07947
,,,,,,7.53E-07,1.001,,,,,7.53E-07,1.04013,7.53E-07,1.0776
,,,,,,7.54E-07,1.00099,,,,,7.54E-07,1.03892,7.54E-07,1.07573
,,,,,,7.55E-07,1.00099,,,,,7.55E-07,1.03763,7.55E-07,1.0741
,,,,,,7.56E-07,1.00098,,,,,7.56E-07,1.03633,7.56E-07,1.07238
,,,,,,7.57E-07,1.00098,,,,,7.57E-07,1.03499,7.57E-07,1.07066
,,,,,,7.58E-07,1.00098,,,,,7.58E-07,1.03366,7.58E-07,1.06898
,,,,,,7.59E-07,1.00097,,,,,7.59E-07,1.03226,7.59E-07,1.06736
,,,,,,7.60E-07,1.00097,,,,,7.60E-07,1.03091,7.60E-07,1.06586
,,,,,,7.61E-07,1.00097,,,,,7.61E-07,1.02954,7.61E-07,1.06424
,,,,,,7.62E-07,1.00096,,,,,7.62E-07,1.02817,7.62E-07,1.06283
,,,,,,7.63E-07,1.00096,,,,,7.63E-07,1.0268,7.63E-07,1.06134
,,,,,,7.64E-07,1.00096,,,,,7.64E-07,1.02546,7.64E-07,1.05987
,,,,,,7.65E-07,1.00095,,,,,7.65E-07,1.02414,7.65E-07,1.05844
,,,,,,7.66E-07,1.00095,,,,,7.66E-07,1.02281,7.66E-07,1.05693
,,,,,,7.67E-07,1.00094,,,,,7.67E-07,1.02153,7.67E-07,1.05568
,,,,,,7.68E-07,1.00094,,,,,7.68E-07,1.02029,7.68E-07,1.0543
,,,,,,7.69E-07,1.00094,,,,,7.69E-07,1.01907,7.69E-07,1.05294
,,,,,,7.70E-07,1.00093,,,,,7.70E-07,1.0179,7.70E-07,1.05162
,,,,,,7.71E-07,1.00093,,,,,7.71E-07,1.01677,7.71E-07,1.05045
,,,,,,7.72E-07,1.00093,,,,,7.72E-07,1.0157,7.72E-07,1.0492
,,,,,,7.73E-07,1.00092,,,,,7.73E-07,1.01463,7.73E-07,1.04797
,,,,,,7.74E-07,1.00092,,,,,7.74E-07,1.01363,7.74E-07,1.04675
,,,,,,7.75E-07,1.00092,,,,,7.75E-07,1.01268,7.75E-07,1.04557
,,,,,,7.76E-07,1.00091,,,,,7.76E-07,1.01175,7.76E-07,1.04443
,,,,,,7.77E-07,1.00091,,,,,7.77E-07,1.01091,7.77E-07,1.04327
,,,,,,7.78E-07,1.00091,,,,,7.78E-07,1.01008,7.78E-07,1.04217
,,,,,,7.79E-07,1.0009,,,,,7.79E-07,1.00934,7.79E-07,1.04106
,,,,,,7.80E-07,1.0009,,,,,7.80E-07,1.00862,7.80E-07,1.04006
,,,,,,7.81E-07,1.00089,,,,,7.81E-07,1.00797,7.81E-07,1.03901
,,,,,,7.82E-07,1.00089,,,,,7.82E-07,1.00737,7.82E-07,1.03797
,,,,,,7.83E-07,1.00089,,,,,7.83E-07,1.00682,7.83E-07,1.03704
,,,,,,7.84E-07,1.00088,,,,,7.84E-07,1.00632,7.84E-07,1.03599
,,,,,,7.85E-07,1.00088,,,,,7.85E-07,1.00586,7.85E-07,1.03509
,,,,,,7.86E-07,1.00088,,,,,7.86E-07,1.00547,7.86E-07,1.0341
,,,,,,7.87E-07,1.00087,,,,,7.87E-07,1.00513,7.87E-07,1.03323
,,,,,,7.88E-07,1.00087,,,,,7.88E-07,1.00484,7.88E-07,1.03228
,,,,,,7.89E-07,1.00087,,,,,7.89E-07,1.0046,7.89E-07,1.03139
,,,,,,7.90E-07,1.00086,,,,,7.90E-07,1.00442,7.90E-07,1.03052
,,,,,,7.91E-07,1.00086,,,,,7.91E-07,1.00429,7.91E-07,1.02967
,,,,,,7.92E-07,1.00086,,,,,7.92E-07,1.00422,7.92E-07,1.02889
,,,,,,7.93E-07,1.00085,,,,,7.93E-07,1.00418,7.93E-07,1.02803
,,,,,,7.94E-07,1.00085,,,,,7.94E-07,1.00418,7.94E-07,1.02726
,,,,,,7.95E-07,1.00085,,,,,7.95E-07,1.00422,7.95E-07,1.02647
,,,,,,7.96E-07,1.00084,,,,,7.96E-07,1.0043,7.96E-07,1.0257
,,,,,,7.97E-07,1.00084,,,,,7.97E-07,1.0044,7.97E-07,1.02492
,,,,,,7.98E-07,1.00083,,,,,7.98E-07,1.00448,7.98E-07,1.02416
,,,,,,7.99E-07,1.00083,,,,,7.99E-07,1.00454,7.99E-07,1.02343
,,,,,,8.00E-07,1.00083,,,,,8.00E-07,1.00458,8.00E-07,1.02271
,,,,,,8.01E-07,1.00082,,,,,8.01E-07,1.00459,8.01E-07,1.02205
,,,,,,8.02E-07,1.00082,,,,,8.02E-07,1.00458,8.02E-07,1.02223
,,,,,,8.03E-07,1.00082,,,,,8.03E-07,1.00455,8.03E-07,1.02248
,,,,,,8.04E-07,1.00081,,,,,8.04E-07,1.00451,8.04E-07,1.0227
,,,,,,8.05E-07,1.00081,,,,,8.05E-07,1.00445,8.05E-07,1.02293
,,,,,,8.06E-07,1.00081,,,,,8.06E-07,1.00438,8.06E-07,1.02315
,,,,,,8.07E-07,1.0008,,,,,8.07E-07,1.00431,8.07E-07,1.02336
,,,,,,8.08E-07,1.0008,,,,,8.08E-07,1.00422,8.08E-07,1.02356
,,,,,,8.09E-07,1.0008,,,,,8.09E-07,1.00412,8.09E-07,1.02376
,,,,,,8.10E-07,1.00079,,,,,8.10E-07,1.00402,8.10E-07,1.02394
,,,,,,8.11E-07,1.00079,,,,,8.11E-07,1.00391,8.11E-07,1.02413
,,,,,,8.12E-07,1.00079,,,,,8.12E-07,1.0038,8.12E-07,1.02431
,,,,,,8.13E-07,1.00078,,,,,8.13E-07,1.00368,8.13E-07,1.02448
,,,,,,8.14E-07,1.00078,,,,,8.14E-07,1.00356,8.14E-07,1.02466
,,,,,,8.15E-07,1.00078,,,,,8.15E-07,1.00344,8.15E-07,1.0248
,,,,,,8.16E-07,1.00077,,,,,8.16E-07,1.00333,8.16E-07,1.02496
,,,,,,8.17E-07,1.00077,,,,,8.17E-07,1.00321,8.17E-07,1.0251
,,,,,,8.18E-07,1.00077,,,,,8.18E-07,1.00309,8.18E-07,1.02525
,,,,,,8.19E-07,1.00076,,,,,8.19E-07,1.00298,8.19E-07,1.02539
,,,,,,8.20E-07,1.00076,,,,,8.20E-07,1.00287,8.20E-07,1.02551
,,,,,,8.21E-07,1.00076,,,,,8.21E-07,1.00276,8.21E-07,1.02563
,,,,,,8.22E-07,1.00075,,,,,8.22E-07,1.00265,8.22E-07,1.02575
,,,,,,8.23E-07,1.00075,,,,,8.23E-07,1.00255,8.23E-07,1.02586
,,,,,,8.24E-07,1.00074,,,,,8.24E-07,1.00245,8.24E-07,1.02597
,,,,,,8.25E-07,1.00074,,,,,8.25E-07,1.00235,8.25E-07,1.02606
,,,,,,8.26E-07,1.00074,,,,,8.26E-07,1.00226,8.26E-07,1.02616
,,,,,,8.27E-07,1.00073,,,,,8.27E-07,1.00217,8.27E-07,1.02624
,,,,,,8.28E-07,1.00073,,,,,8.28E-07,1.00208,8.28E-07,1.02631
,,,,,,8.29E-07,1.00073,,,,,8.29E-07,1.002,8.29E-07,1.02638
,,,,,,8.30E-07,1.00072,,,,,8.30E-07,1.00193,8.30E-07,1.02644
,,,,,,8.31E-07,1.00072,,,,,8.31E-07,1.00185,8.31E-07,1.0265
,,,,,,8.32E-07,1.00072,,,,,8.32E-07,1.00178,8.32E-07,1.02654
,,,,,,8.33E-07,1.00071,,,,,8.33E-07,1.00171,8.33E-07,1.02657
,,,,,,8.34E-07,1.00071,,,,,8.34E-07,1.00165,8.34E-07,1.02659
,,,,,,8.35E-07,1.00071,,,,,8.35E-07,1.00159,8.35E-07,1.02659
,,,,,,8.36E-07,1.0007,,,,,8.36E-07,1.00153,8.36E-07,1.02655
,,,,,,8.37E-07,1.0007,,,,,8.37E-07,1.00148,8.37E-07,1.02647
,,,,,,8.38E-07,1.0007,,,,,8.38E-07,1.00143,8.38E-07,1.02618
,,,,,,8.39E-07,1.00069,,,,,8.39E-07,1.00138,8.39E-07,1.02745
,,,,,,8.40E-07,1.00069,,,,,8.40E-07,1.00133,8.40E-07,1.02868
,,,,,,8.41E-07,1.00069,,,,,8.41E-07,1.00129,8.41E-07,1.02959
,,,,,,8.42E-07,1.00069,,,,,8.42E-07,1.00125,8.42E-07,1.03068
,,,,,,8.43E-07,1.00068,,,,,8.43E-07,1.00121,8.43E-07,1.03099
,,,,,,8.44E-07,1.00068,,,,,8.44E-07,1.00117,8.44E-07,1.03154
,,,,,,8.45E-07,1.00068,,,,,8.45E-07,1.00113,8.45E-07,1.03204
,,,,,,,,,,,,8.46E-07,1.0011,8.46E-07,1.03208
,,,,,,,,,,,,8.47E-07,1.00106,8.47E-07,1.0321
,,,,,,,,,,,,8.48E-07,1.00103,8.48E-07,1.03218
,,,,,,,,,,,,8.49E-07,1.001,8.49E-07,1.03216
,,,,,,,,,,,,8.50E-07,1.00097,8.50E-07,1.03201
,,,,,,,,,,,,8.51E-07,1.00094,8.51E-07,1.03188
,,,,,,,,,,,,8.52E-07,1.00091,8.52E-07,1.03165
,,,,,,,,,,,,8.53E-07,1.00089,8.53E-07,1.03138
,,,,,,,,,,,,8.54E-07,1.00086,8.54E-07,1.03104
,,,,,,,,,,,,8.55E-07,1.00084,8.55E-07,1.03072
,,,,,,,,,,,,8.56E-07,1.00082,8.56E-07,1.0304
,,,,,,,,,,,,8.57E-07,1.00079,8.57E-07,1.03006
,,,,,,,,,,,,8.58E-07,1.00077,8.58E-07,1.03025
,,,,,,,,,,,,8.59E-07,1.00075,8.59E-07,1.02987
,,,,,,,,,,,,8.60E-07,1.00073,8.60E-07,1.02951
,,,,,,,,,,,,8.61E-07,1.00071,8.61E-07,1.02876
,,,,,,,,,,,,8.62E-07,1.00069,8.62E-07,1.02772
,,,,,,,,,,,,8.63E-07,1.00067,8.63E-07,1.02746
,,,,,,,,,,,,8.64E-07,1.00065,8.64E-07,1.02735
,,,,,,,,,,,,8.65E-07,1.00064,8.65E-07,1.02734
,,,,,,,,,,,,8.66E-07,1.00062,8.66E-07,1.02752
,,,,,,,,,,,,8.67E-07,1.0006,8.67E-07,1.02782
,,,,,,,,,,,,8.68E-07,1.00059,8.68E-07,1.02851
,,,,,,,,,,,,8.69E-07,1.00057,8.69E-07,1.02921
,,,,,,,,,,,,8.70E-07,1.00056,8.70E-07,1.02984
,,,,,,,,,,,,8.71E-07,1.00047,8.71E-07,1.03062
,,,,,,,,,,,,8.72E-07,1.00045,8.72E-07,1.03164
,,,,,,,,,,,,8.73E-07,1.00073,8.73E-07,1.03263
,,,,,,,,,,,,8.74E-07,1.00087,8.74E-07,1.03359
,,,,,,,,,,,,8.75E-07,1.00094,8.75E-07,1.03466
,,,,,,,,,,,,8.76E-07,1.00097,8.76E-07,1.03582
,,,,,,,,,,,,8.77E-07,1.00099,8.77E-07,1.03676
,,,,,,,,,,,,8.78E-07,1.001,8.78E-07,1.03787
,,,,,,,,,,,,8.79E-07,1.00101,8.79E-07,1.03896
,,,,,,,,,,,,8.80E-07,1.00101,8.80E-07,1.04005
,,,,,,,,,,,,8.81E-07,1.001,8.81E-07,1.04105
,,,,,,,,,,,,8.82E-07,1.001,8.82E-07,1.04213
,,,,,,,,,,,,8.83E-07,1.001,8.83E-07,1.04309
,,,,,,,,,,,,8.84E-07,1.00099,8.84E-07,1.04389
,,,,,,,,,,,,8.85E-07,1.00099,8.85E-07,1.04471
,,,,,,,,,,,,8.86E-07,1.00099,8.86E-07,1.04542
,,,,,,,,,,,,8.87E-07,1.00098,8.87E-07,1.04605
,,,,,,,,,,,,8.88E-07,1.00098,8.88E-07,1.0466
,,,,,,,,,,,,8.89E-07,1.00097,8.89E-07,1.04708
,,,,,,,,,,,,8.90E-07,1.00097,8.90E-07,1.04746
,,,,,,,,,,,,8.91E-07,1.00096,8.91E-07,1.04775
,,,,,,,,,,,,8.92E-07,1.00096,8.92E-07,1.04797
,,,,,,,,,,,,8.93E-07,1.00096,8.93E-07,1.04813
,,,,,,,,,,,,8.94E-07,1.00095,8.94E-07,1.04819
,,,,,,,,,,,,8.95E-07,1.00095,8.95E-07,1.04819
,,,,,,,,,,,,8.96E-07,1.00094,8.96E-07,1.04819
,,,,,,,,,,,,8.97E-07,1.00094,8.97E-07,1.04817
,,,,,,,,,,,,8.98E-07,1.00094,8.98E-07,1.04809
,,,,,,,,,,,,8.99E-07,1.00093,8.99E-07,1.04796
,,,,,,,,,,,,9.00E-07,1.00093,9.00E-07,1.04776
,,,,,,,,,,,,9.01E-07,1.00092,9.01E-07,1.04753
,,,,,,,,,,,,9.02E-07,1.00092,9.02E-07,1.04724
,,,,,,,,,,,,9.03E-07,1.00092,9.03E-07,1.04687
,,,,,,,,,,,,9.04E-07,1.00091,9.04E-07,1.04646
,,,,,,,,,,,,9.05E-07,1.00091,9.05E-07,1.04605
,,,,,,,,,,,,9.06E-07,1.00091,9.06E-07,1.04555
,,,,,,,,,,,,9.07E-07,1.0009,9.07E-07,1.045
,,,,,,,,,,,,9.08E-07,1.0009,9.08E-07,1.04441
,,,,,,,,,,,,9.09E-07,1.0009,9.09E-07,1.04377
,,,,,,,,,,,,9.10E-07,1.00089,9.10E-07,1.04316
,,,,,,,,,,,,9.11E-07,1.00089,9.11E-07,1.04246
,,,,,,,,,,,,9.12E-07,1.00089,9.12E-07,1.04171
,,,,,,,,,,,,9.13E-07,1.00088,9.13E-07,1.04091
,,,,,,,,,,,,9.14E-07,1.00088,9.14E-07,1.04015
,,,,,,,,,,,,9.15E-07,1.00088,9.15E-07,1.03932
,,,,,,,,,,,,9.16E-07,1.00088,9.16E-07,1.03845
,,,,,,,,,,,,9.17E-07,1.00087,9.17E-07,1.03764
,,,,,,,,,,,,9.18E-07,1.00087,9.18E-07,1.03673
,,,,,,,,,,,,9.19E-07,1.00087,9.19E-07,1.0358
,,,,,,,,,,,,9.20E-07,1.00087,9.20E-07,1.03493
,,,,,,,,,,,,9.21E-07,1.00086,9.21E-07,1.03397
,,,,,,,,,,,,9.22E-07,1.00086,9.22E-07,1.03305
,,,,,,,,,,,,9.23E-07,1.00086,9.23E-07,1.03207
,,,,,,,,,,,,9.24E-07,1.00086,9.24E-07,1.03107
,,,,,,,,,,,,9.25E-07,1.00085,9.25E-07,1.03018
,,,,,,,,,,,,9.26E-07,1.00085,9.26E-07,1.02919
,,,,,,,,,,,,9.27E-07,1.00085,9.27E-07,1.02818
,,,,,,,,,,,,9.28E-07,1.00085,9.28E-07,1.02722
,,,,,,,,,,,,9.29E-07,1.00085,9.29E-07,1.02634
,,,,,,,,,,,,9.30E-07,1.00085,9.30E-07,1.02537
,,,,,,,,,,,,9.31E-07,1.00084,9.31E-07,1.02443
,,,,,,,,,,,,9.32E-07,1.00084,9.32E-07,1.02355
,,,,,,,,,,,,9.33E-07,1.00084,9.33E-07,1.02263
,,,,,,,,,,,,9.34E-07,1.00084,9.34E-07,1.02171
,,,,,,,,,,,,9.35E-07,1.00084,9.35E-07,1.02082
,,,,,,,,,,,,9.36E-07,1.00084,9.36E-07,1.01992
,,,,,,,,,,,,9.37E-07,1.00084,9.37E-07,1.01907
,,,,,,,,,,,,9.38E-07,1.00084,9.38E-07,1.01828
,,,,,,,,,,,,9.39E-07,1.00084,9.39E-07,1.01744
,,,,,,,,,,,,9.40E-07,1.00084,9.40E-07,1.01661
,,,,,,,,,,,,9.41E-07,1.00084,9.41E-07,1.01589
,,,,,,,,,,,,9.42E-07,1.00084,9.42E-07,1.01513
,,,,,,,,,,,,9.43E-07,1.00084,9.43E-07,1.01439
,,,,,,,,,,,,9.44E-07,1.00084,9.44E-07,1.01366
,,,,,,,,,,,,9.45E-07,1.00084,9.45E-07,1.01297
,,,,,,,,,,,,9.46E-07,1.00084,9.46E-07,1.01231
,,,,,,,,,,,,9.47E-07,1.00084,9.47E-07,1.01163
,,,,,,,,,,,,9.48E-07,1.00084,9.48E-07,1.01107
,,,,,,,,,,,,9.49E-07,1.00084,9.49E-07,1.01046
,,,,,,,,,,,,9.50E-07,1.00084,9.50E-07,1.00987
,,,,,,,,,,,,9.51E-07,1.00084,9.51E-07,1.00931
,,,,,,,,,,,,9.52E-07,1.00084,9.52E-07,1.00878
,,,,,,,,,,,,9.53E-07,1.00084,9.53E-07,1.00831
,,,,,,,,,,,,9.54E-07,1.00084,9.54E-07,1.00781
,,,,,,,,,,,,9.55E-07,1.00084,9.55E-07,1.00734
,,,,,,,,,,,,9.56E-07,1.00085,9.56E-07,1.00689
,,,,,,,,,,,,9.57E-07,1.00085,9.57E-07,1.00651
,,,,,,,,,,,,9.58E-07,1.00085,9.58E-07,1.00611
,,,,,,,,,,,,9.59E-07,1.00085,9.59E-07,1.00573
,,,,,,,,,,,,9.60E-07,1.00085,9.60E-07,1.00536
,,,,,,,,,,,,9.61E-07,1.00085,9.61E-07,1.00502
,,,,,,,,,,,,9.62E-07,1.00086,9.62E-07,1.00472
,,,,,,,,,,,,9.63E-07,1.00086,9.63E-07,1.00442
,,,,,,,,,,,,9.64E-07,1.00086,9.64E-07,1.00414
,,,,,,,,,,,,9.65E-07,1.00087,9.65E-07,1.00388
,,,,,,,,,,,,9.66E-07,1.00087,9.66E-07,1.00363
,,,,,,,,,,,,9.67E-07,1.00087,9.67E-07,1.00341
,,,,,,,,,,,,9.68E-07,1.00087,9.68E-07,1.00321
,,,,,,,,,,,,9.69E-07,1.00088,9.69E-07,1.00302
,,,,,,,,,,,,9.70E-07,1.00088,9.70E-07,1.00284
,,,,,,,,,,,,9.71E-07,1.00089,9.71E-07,1.00268
,,,,,,,,,,,,9.72E-07,1.00089,9.72E-07,1.00257
,,,,,,,,,,,,9.73E-07,1.00089,9.73E-07,1.00248
,,,,,,,,,,,,9.74E-07,1.0009,9.74E-07,1.0024
,,,,,,,,,,,,9.75E-07,1.0009,9.75E-07,1.00232
,,,,,,,,,,,,9.76E-07,1.00091,9.76E-07,1.00225
,,,,,,,,,,,,9.77E-07,1.00091,9.77E-07,1.0022
,,,,,,,,,,,,9.78E-07,1.00092,9.78E-07,1.00217
,,,,,,,,,,,,9.79E-07,1.00092,9.79E-07,1.00215
,,,,,,,,,,,,9.80E-07,1.00093,9.80E-07,1.00214
,,,,,,,,,,,,9.81E-07,1.00093,9.81E-07,1.00213
,,,,,,,,,,,,9.82E-07,1.00094,9.82E-07,1.00214
,,,,,,,,,,,,9.83E-07,1.00095,9.83E-07,1.00215
,,,,,,,,,,,,9.84E-07,1.00095,9.84E-07,1.00216
